Frequency_Hz,EpsilonReal_mean,EpsilonReal_std,TanDelta_mean,TanDelta_std
50000000000,2.75821387737459,0.00783106571196827,0.00580522891998014,9.59137468970591e-05
50050000000,2.75801184574843,0.0077921675983048,0.00772616785025289,0.000100814205225209
50100000000,2.76020474505326,0.00783119412961459,0.0100331770563899,0.000131502412814055
50150000000,2.7599241997238,0.00782979910153116,0.0132784817499023,0.000154711772811589
50200000000,2.75142054888201,0.00742656360045961,0.0213749345444095,0.000137871006844488
50250000000,2.71801462850845,0.00687566956672683,0.0226956385020611,0.000340142642014475
50300000000,2.69567734132339,0.00791309835665423,0.0137233937008979,0.000327546922054742
50350000000,2.70191495598942,0.00817026797229036,0.00622504161308406,0.000161812600875424
50400000000,2.7059937856055,0.00817362217918092,0.00287615067597838,8.80311214815826e-05
50450000000,2.69298324381916,0.00781882748826585,-0.00236350902472863,5.95187276213197e-05
50500000000,2.74512293402018,0.0080109149442195,-0.00604179424837779,4.93759744519202e-05
50550000000,2.74075574045793,0.00817609443378193,-0.00789467468802292,5.94603684276686e-05
50600000000,2.76346600547296,0.00812893391145501,-0.0120794187710383,4.14390648559346e-05
50650000000,2.78574300203219,0.00835393958659174,-0.00235257509531555,6.20186479274325e-05
50700000000,2.79012407398979,0.00799028087565266,0.0061201914576244,0.000151835958359428
50750000000,2.78276207599973,0.00749708526159788,0.0152643330554124,0.000224427814762306
50800000000,2.75430799686239,0.00705669191628397,0.0203245372553919,0.000144315100912076
50850000000,2.73793185939454,0.00798168815459117,0.014219535852025,0.00022780928575377
50900000000,2.7480352209576,0.00867875363381853,0.0121787841554941,0.0001664953269996
50950000000,2.71678315880557,0.00584893444372942,0.0213222799190749,0.00133788197035057
51000000000,2.71879396763633,0.00874152760103789,0.00843320357882019,0.000181048936922375
51050000000,2.72590647250094,0.00826949052819932,0.00698329413792112,5.87676087051724e-05
51100000000,2.72781751755843,0.00842301432091572,0.00687627275032655,5.18623031330764e-05
51150000000,2.72392028592117,0.00815880589186033,0.00830200306114824,7.22519986465605e-05
51200000000,2.71534481563255,0.00806978697348914,0.00566650656597499,9.63278003822735e-05
51250000000,2.70409506124271,0.00834201156953614,0.000503181528801768,0.000103926797196142
51300000000,2.74054423725639,0.00829000065339105,-0.0301038692117608,0.000108351941227484
51350000000,2.78165349066585,0.00839082509926108,-0.00687334849213434,6.7516240352715e-05
51400000000,2.78514172845186,0.00848540775594909,0.00248754518688193,2.78863305020295e-05
51450000000,2.78903205300853,0.00844150797558507,0.0121217675629678,0.000595012168302784
51500000000,2.75171165924009,0.00944027479714837,0.00953096879991024,0.000255922831192987
51550000000,2.76135727508756,0.00913199955566276,0.00970775560491162,0.000132347391915199
51600000000,2.76037800362666,0.00843323577159,0.0138754419622246,0.000281220378387307
51650000000,2.75978868372969,0.00867194359500997,0.0183703842852098,0.000724382348041271
51700000000,2.7307781905755,0.00656968293486738,0.0234009100177928,0.000243835308900468
51750000000,2.70666857112896,0.00800995361396875,0.0155472391699638,0.000348277229908408
51800000000,2.70967806231754,0.00865629201263553,0.00833626074556101,0.000159440577432439
51850000000,2.71513181257763,0.00878089389520254,0.00405548175632151,6.30666898974554e-05
51900000000,2.71821737119409,0.00886414248246235,0.000219480296443834,8.12939380316686e-05
51950000000,2.72719694264622,0.00881186040850411,0.00023901805097067,0.000100744634226484
52000000000,2.72409847685448,0.00876500900473509,-0.002437966099588,0.000123012256489482
52050000000,2.73515458610531,0.0087650516181601,-0.0108683844768104,0.000187001383797679
52100000000,2.7647118506832,0.00878981201423551,-0.0193112308056313,0.0003082249615974
52150000000,2.80850063506647,0.00846370262637972,0.00578136947273005,0.000577755492254765
52200000000,2.7866827345181,0.00828288017248057,0.0151096464213783,0.000427229475836988
52250000000,2.75178637016445,0.00743108631294816,0.01996664677837,0.000132337396527993
52300000000,2.73807663932243,0.00832655520451204,0.0125554509251745,0.000102760731374824
52350000000,2.7414060406457,0.00820461028773457,0.00875848894466088,0.000101171593561245
52400000000,2.74765467240762,0.00831207593266654,0.00807184237114185,0.000129107439970725
52450000000,2.75270219893007,0.00887044023075866,0.00895379123534179,0.000120015099122997
52500000000,2.7585079249867,0.0077082871132214,0.0162467986687723,0.000428987728312596
52550000000,2.73221190175396,0.00855683160703851,0.0152284907749774,0.00061321209648065
52600000000,2.72440564630139,0.00792008786489878,0.0127511584125776,0.000547282926493996
52650000000,2.71996058875537,0.00768078647674214,0.00971106771484612,0.000358042628012932
52700000000,2.71598173162216,0.00731811700706338,0.00645182580321257,3.92284145702484e-05
52750000000,2.71609247113669,0.007563540996655,0.00130470114310186,0.000341500464636433
52800000000,2.73488659882551,0.00823746523960576,-0.0040275011411993,0.000341619893923726
